Key,OT,NT
"20 Feb","Job 15:1-23, 30-35","John 6:60-71"
"21 Feb","Job 16:1-21","John 7:1-13"
"22 Feb","Job 17:1-16","John 7:14-31"
"23 Feb","Job 18:1-21","John 7:32-53"
"24 Feb","Job 19:1-12, 21-27","John 8:1-20"
"25 Feb","Job 20:1-23, 29","John 8:21-38"
"26 Feb","Job 21:1-21","John 8:39-59"
"27 Feb","Job 30:16-31","John 9:1-23"
"28 Feb","Job 31:1-12, 33-40","John 9:24-41"
"29 Feb","Job 32:1-22","John 10:1-21"
"01 Mar","Job 33:1-18","John 10:22-42"
"02 Mar","Job 33:19-34:9","John 11:1-16"
"03 Mar","Job 34:10-33","John 11:17-37"
"04 Mar","Job 36:1-21","John 11:38-57"
"05 Mar","Job 37:1-24","John 12:1-19"
"06 Mar","Job 38:1-18","John 12:20-36a"
"07 Mar","Job 40:1-24","John 12:36b-50"
"08 Mar","Job 41:1-20, 31-34","John 13:1-20"
"09 Mar","Job 42:1-17","John 13:21-38"
